cod_distrito,cod_concelho,nome_concelho,casos,dia
14,15,Salvaterra de Magos,,25-03-2020
18,14,Santa Comba Dão,,25-03-2020
31,8,Santa Cruz,,25-03-2020
44,1,Santa Cruz da Graciosa,,25-03-2020
48,2,Santa Cruz das Flores,,25-03-2020
1,9,Santa Maria da Feira,39,25-03-2020
17,11,Santa Marta de Penaguião,,25-03-2020
31,9,Santana,,25-03-2020
14,16,Santarém,9,25-03-2020
15,9,Santiago do Cacém,,25-03-2020
13,14,Santo Tirso,8,25-03-2020
14,17,Sardoal,,25-03-2020
9,12,Seia,,25-03-2020
15,10,Seixal,29,25-03-2020
18,18,Sernancelhe,,25-03-2020
2,13,Serpa,,25-03-2020
5,9,Sertã,,25-03-2020
15,11,Sesimbra,4,25-03-2020
15,12,Setúbal,9,25-03-2020
1,17,Sever do Vouga,,25-03-2020
8,13,Silves,3,25-03-2020
15,13,Sines,,25-03-2020
11,11,Sintra,43,25-03-2020
11,12,Sobral de Monte Agraço,,25-03-2020
6,15,Soure,3,25-03-2020
12,15,Sousel,,25-03-2020
18,17,Sátão,,25-03-2020
8,12,São Brás de Alportel,,25-03-2020
1,16,São João da Madeira,,25-03-2020
18,15,São João da Pesqueira,,25-03-2020
18,16,São Pedro do Sul,,25-03-2020
46,3,São Roque do Pico,,25-03-2020
31,10,São Vicente,,25-03-2020
18,19,Tabuaço,,25-03-2020
18,20,Tarouca,,25-03-2020
8,14,Tavira,,25-03-2020
3,10,Terras de Bouro,,25-03-2020
14,18,Tomar,,25-03-2020
18,21,Tondela,,25-03-2020
4,9,Torre de Moncorvo,,25-03-2020
14,19,Torres Novas,,25-03-2020
11,13,Torres Vedras,,25-03-2020
9,13,Trancoso,,25-03-2020
13,18,Trofa,,25-03-2020
6,16,Tábua,,25-03-2020
1,18,Vagos,,25-03-2020
1,19,Vale de Cambra,4,25-03-2020
16,8,Valença,,25-03-2020
13,15,Valongo,71,25-03-2020
17,12,Valpaços,,25-03-2020
45,2,Velas,,25-03-2020
7,12,Vendas Novas,,25-03-2020
7,13,Viana do Alentejo,,25-03-2020
16,9,Viana do Castelo,7,25-03-2020
2,14,Vidigueira,,25-03-2020
3,11,Vieira do Minho,,25-03-2020
4,10,Vila Flor,,25-03-2020
11,14,Vila Franca de Xira,6,25-03-2020
42,6,Vila Franca do Campo,,25-03-2020
14,20,Vila Nova da Barquinha,,25-03-2020
16,10,Vila Nova de Cerveira,,25-03-2020
3,12,Vila Nova de Famalicão,14,25-03-2020
9,14,Vila Nova de Foz Côa,,25-03-2020
13,17,Vila Nova de Gaia,83,25-03-2020
18,22,Vila Nova de Paiva,,25-03-2020
6,17,Vila Nova de Poiares,,25-03-2020
17,13,Vila Pouca de Aguiar,,25-03-2020
17,14,Vila Real,9,25-03-2020
8,16,Vila Real de Santo António,,25-03-2020
5,11,Vila Velha de Ródão,,25-03-2020
3,13,Vila Verde,,25-03-2020
7,14,Vila Viçosa,,25-03-2020
5,10,Vila de Rei,,25-03-2020
8,15,Vila do Bispo,,25-03-2020
13,16,Vila do Conde,8,25-03-2020
41,1,Vila do Porto,,25-03-2020
4,11,Vimioso,,25-03-2020
4,12,Vinhais,,25-03-2020
18,23,Viseu,11,25-03-2020
3,14,Vizela,,25-03-2020
18,24,Vouzela,,25-03-2020
1,1,Águeda,3,25-03-2020
7,5,Évora,5,25-03-2020
1,10,Ílhavo,,25-03-2020
10,12,Óbidos,,25-03-2020
14,1,Abrantes,,26-03-2020
9,1,Aguiar da Beira,,26-03-2020
7,1,Alandroal,,26-03-2020
1,2,Albergaria-a-Velha,21,26-03-2020
8,1,Albufeira,18,26-03-2020
14,2,Alcanena,,26-03-2020
10,1,Alcobaça,,26-03-2020
15,2,Alcochete,3,26-03-2020
8,2,Alcoutim,,26-03-2020
15,1,Alcácer do Sal,,26-03-2020
11,1,Alenquer,,26-03-2020
4,1,Alfândega da Fé,,26-03-2020
17,1,Alijó,,26-03-2020
8,3,Aljezur,,26-03-2020
2,1,Aljustrel,,26-03-2020
15,3,Almada,35,26-03-2020
9,2,Almeida,,26-03-2020
14,3,Almeirim,3,26-03-2020
2,2,Almodôvar,,26-03-2020
14,4,Alpiarça,,26-03-2020
12,1,Alter do Chão,,26-03-2020
10,2,Alvaiázere,3,26-03-2020
2,3,Alvito,,26-03-2020
11,15,Amadora,31,26-03-2020
13,1,Amarante,,26-03-2020
3,1,Amares,6,26-03-2020
1,3,Anadia,,26-03-2020
43,1,Angra do Heroísmo,,26-03-2020
10,3,Ansião,,26-03-2020
16,1,Arcos de Valdevez,8,26-03-2020
6,1,Arganil,,26-03-2020
18,1,Armamar,,26-03-2020
1,4,Arouca,,26-03-2020
7,2,Arraiolos,,26-03-2020
12,2,Arronches,,26-03-2020
11,2,Arruda dos Vinhos,,26-03-2020
1,5,Aveiro,46,26-03-2020
12,3,Avis,,26-03-2020
11,3,Azambuja,,26-03-2020
13,2,Baião,,26-03-2020
3,2,Barcelos,15,26-03-2020
2,4,Barrancos,,26-03-2020
